,Place_id,Name,Business_Status,Lat,Lon
15,ChIJ2fsnrdTXlmsR3fj2AhyKW6E,Boonah Ambulance Station,OPERATIONAL,-27.993263,152.685317
16,ChIJUYDis8IBkWsRYXeU8qsvHsI,Coolangatta Ambulance Station,OPERATIONAL,-28.1609454,153.5108511
17,ChIJZ_gdxqYDkWsR367on7KPMVw,Burleigh Heads Ambulance Station,OPERATIONAL,-28.099112,153.443136
18,ChIJV7y8xoYhkWsRydLGBgMMN7M,Canungra Ambulance Station,OPERATIONAL,-28.0166408,153.1630078
19,ChIJ-bzIU7kEkWsRYdB3tbMSyVk,Mermaid Waters Ambulance Station,OPERATIONAL,-28.0474558,153.4091402
20,ChIJC-xmWlMakWsRG4u_VOEc--w,QLD Ambulance Service,OPERATIONAL,-28.0053996,153.3382469
21,ChIJAZ91CygAkWsR7M51qEQqQlw,NSW Ambulance,OPERATIONAL,-28.17797,153.5449392
22,ChIJRamxrC4dkWsRvfbNRqplnAQ,Queensland Ambulance Service Mudgeeraba Station,OPERATIONAL,-28.0532012,153.3554818
23,ChIJTdVPm1UFkWsRN61_KIK3ZJg,QLD Ambulance Service,OPERATIONAL,-27.9754505,153.3952636
24,ChIJw_sPgxOul2sRCOKIldP2ZoI,Clifton Ambulance Station,OPERATIONAL,-27.9309234,151.9079855
25,ChIJC2lPayJRlmsRF83Hj4tmmnM,Drayton ambulance station,OPERATIONAL,-27.7175069,151.913192
26,ChIJw3Hwlw06kWsRrG2CBhMGwwM,Jimboomba Ambulance Station,OPERATIONAL,-27.8289578,153.0253915
27,ChIJU7s9F7YikWsRUFqRyeJeco0,Tamborine Mountain Ambulance Station,OPERATIONAL,-27.9358099,153.1805317
28,ChIJnwbmxvMQkWsRg1OKSwCvSiE,QLD Ambulance Service,OPERATIONAL,-27.9365088,153.3368133
29,ChIJs-KFQ0FKkWsRHCP1x8HPWQ4,Springfield Ambulance Station,OPERATIONAL,-27.6701023,152.891978
30,ChIJRSPw7u8TkWsRhTar9QanGmg,Coomera Ambulance Station,OPERATIONAL,-27.8583324,153.3103642
31,ChIJOYVxsDNGkWsRXPGLoB9A5yI,Logan West Ambulance Station,OPERATIONAL,-27.6777363,153.0302082
32,ChIJRQV2ICIOkWsRRGfcEZbkMMg,QLD Ambulance Service,OPERATIONAL,-27.9114694,153.3977321
33,ChIJB-oR9NhBkWsRZrazEUiM2OI,Beenleigh Ambulance Station,OPERATIONAL,-27.7031212,153.2014774
34,ChIJ9VVK39hblmsRqiIuSrGc18g,Drayton ambulance station,OPERATIONAL,-27.6043216,151.9121
35,ChIJuS1kBttclmsRJ-nYubThgeM,Fairview Ambulance Station,OPERATIONAL,-27.5351519,151.902945
36,ChIJfdZRt25clmsRhQi1zllCxX8,QLD Ambulance Service,OPERATIONAL,-27.5650023,151.950979
37,ChIJM78_IQRnlmsRIzqsMccPFEM,Queensland Ambulance Serive,OPERATIONAL,-27.4558344,151.9406766
38,ChIJ0xE6_7GSlmsRM7jGnc4CUfk,Gatton Ambulance Station,OPERATIONAL,-27.5587903,152.2747869
39,ChIJQ1JCYgbrlmsRfo0o-DQbS10,Laidley Ambulance Station,OPERATIONAL,-27.6288959,152.3945546
40,ChIJc97UAYLHlmsR94A7RCWcGlk,Rosewood Ambulance Station,OPERATIONAL,-27.637743,152.5914275
41,ChIJ-1wqQC67lmsR2zhKeaqpthM,Lowood Ambulance Station,OPERATIONAL,-27.4636949,152.581258
42,ChIJ74NafU60lmsRiHCZb3njJ-o,Ipswich Ambulance Station,OPERATIONAL,-27.6200187,152.7641583
43,ChIJjZa8PoJMkWsRCGfAO9VavcA,Redbank Ambulance Station,OPERATIONAL,-27.6023313,152.8664866
44,ChIJKcnV0-pNkWsRtIvrVh_VZp4,Pinjarra Hills Ambulance Station,OPERATIONAL,-27.5431344,152.8976346
45,ChIJAcW1I2pOkWsRiku0wDTRa1o,Centenary Ambulance Station,OPERATIONAL,-27.5598163,152.9424522
46,ChIJXUxDLwpPkWsRSWxkdbo2uAo,Durack Ambulance Station,OPERATIONAL,-27.5876189,152.9859056
47,ChIJ83FE8LtRkWsRusQc6yjHni8,Kenmore Ambulance Station,OPERATIONAL,-27.5070272,152.9506275
48,ChIJl4MTFg5FkWsR9qWr--bKqnY,Sunnybank Hills Ambulance Station,OPERATIONAL,-27.5882518,153.0455858
49,ChIJza-SlopDkWsRooc4kp63n6o,Woodridge Ambulance Station,OPERATIONAL,-27.6316944,153.1099802
50,ChIJbSRbW8hakWsRStt2foTAObY,Nathan Ambulance Station,OPERATIONAL,-27.5443918,153.040708
